sample_index,id,sample_id,client_id,sentence_id,primary_accent,clip,audio_duration_sec,direct_runtime_sec,direct_generation_runtime_sec,direct_prepost_overhead_sec,direct_realtime_factor,generated_token_count,generation_limit_reached,runtime_scope,direct_status,direct_error
1712,,spk_1043,,2fe2bf2d29aa44271619ebce5249e046ea777b8b33fcf81f1aca2395bf06a0d3,Hong Kong English,common_voice_en_17776591.mp3,4.944,1.2580559560010443,1.2179269379994366,0.04012901800160762,0.25446115614907855,18,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1713,,spk_1218,,12c63ed0230210a257b7c31190013547ed43d801939a8fa457e8b00229e3d248,Hong Kong English,common_voice_en_189547.mp3,1.896,1.079357037000591,1.0515634289986338,0.027793608001957182,0.5692811376585396,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1714,,spk_1310,,fe0e40d374ec954f343e5fb8454710a04744a6e054c75cc83e1f786fe627395a,Hong Kong English,common_voice_en_17772.mp3,3.504,0.9149694629995793,0.8830716280008346,0.031897834998744656,0.26112142208892103,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1715,,spk_0294,,b696765fb7233860f3cb4866a9b685342128369ced8a49de5159a5d147e67337,Hong Kong English,common_voice_en_100337.mp3,5.136,0.7459297879995574,0.7182687050008099,0.027661082998747588,0.14523555062296678,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1716,,spk_1307,,2672c7ad9b384ca5e0ff6cb99efc476f00250b89156c63144e7f0ae804fe54e8,Hong Kong English,common_voice_en_19824745.mp3,5.64,0.7886575709999306,0.758484653000778,0.03017291799915256,0.13983290265956216,13,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1717,,spk_1232,,7f3e6b6d395987b425bf4bc6bc01c668cc7fe1ef8958b6c327980540391060c6,Hong Kong English,common_voice_en_17520894.mp3,3.432,0.6655314700001327,0.645065036998858,0.02046643300127471,0.19391942599071466,10,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1718,,spk_1501,,7666e9b190117c1cde228ea5b314059ce8ce8689cde6917645ad4fe75d367e43,Hong Kong English,common_voice_en_219282.mp3,3.432,0.6218391570000676,0.6015340259982622,0.02030513100180542,0.18118856555946028,8,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1719,,spk_1314,,b278cf344f5b5b52ae75e4038c0b9c28a0c8c6bdd0133da911ee9f675a7847d6,Hong Kong English,common_voice_en_558131.mp3,2.064,0.6462138639999466,0.6315214360001846,0.014692427999762003,0.3130881124030749,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1720,,spk_1232,,45b714272cec659c14940ce00e5c62c120d386a0acb001d1d97c729c53e810c9,Hong Kong English,common_voice_en_17520898.mp3,5.76,0.924100255000667,0.8941493239999545,0.029950931000712444,0.1604340720487269,18,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1721,,spk_1043,,09c149b78ff1b8541c24d2d06bb9fbe130f76615146ba453037e8f049be3d3dd,Hong Kong English,common_voice_en_17816524.mp3,2.256,0.8594522230014263,0.8440036819993111,0.015448541002115235,0.3809628648055968,18,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1722,,spk_0968,,a7416dea34b69f13c587f94a136c74b507424ad9687e9e92302c656caddcb24b,Hong Kong English,common_voice_en_675150.mp3,2.136,0.598411478998969,0.5835674460013252,0.014844032997643808,0.2801551867972701,7,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1723,,spk_0988,,523b9aaa28650107bf1415d28f68df963a5184af739a7ae46db547ae44a30e0f,Hong Kong English,common_voice_en_17390618.mp3,9.216,1.1374706459992012,1.0904007139997702,0.04706993199943099,0.12342346419262167,26,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1724,,spk_1310,,aac7562ef5a7fcd20c4097e9093d7312105fd8be014544e68a22c1f35ab1cadc,Hong Kong English,common_voice_en_17711.mp3,4.008,0.7388787159998174,0.7146667180004442,0.024211997999373125,0.18435097704586262,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1725,,spk_1043,,fcd2784ed55f25228fe83d2f2ab8958a960da6347b7049e304e1c097268dee0c,Hong Kong English,common_voice_en_17808877.mp3,3.384,0.8110992859983526,0.791047050999623,0.020052234998729546,0.2396865502359198,15,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1726,,spk_1043,,262f976048c3c2e83989f0112828cbf8859da8637a7de691195bb2dc9976e9c3,Hong Kong English,common_voice_en_17860914.mp3,3.744,0.7827507680012786,0.7604879580012494,0.022262810000029276,0.2090680470088885,14,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1727,,spk_1310,,77e33e044eb28dd4429910b1363644f06c47fc1f806f397910128063b726af0d,Hong Kong English,common_voice_en_17674.mp3,2.88,0.9870091709999542,0.9681954570005473,0.0188137139994069,0.3427115177083174,10,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1728,,spk_1314,,40bc5624657447de3f32eaa139763b82b6f9d3b992e6813850f08804a39a5270,Hong Kong English,common_voice_en_558074.mp3,2.928,1.0695651050009474,1.034734822000246,0.034830283000701456,0.3652886287571542,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1729,,spk_0505,,dd0faab0b3ec7a24ef7ff2483b0e298de1ffea4304fb92d00303afce17ac87ba,Hong Kong English,common_voice_en_609955.mp3,3.504,1.1071393700003682,1.077742246001435,0.02939712399893324,0.3159644320777307,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1730,,spk_0294,,fd71db711869e32f879c80e6f9a601d5e8a891872354617a90f4726fccc652cf,Hong Kong English,common_voice_en_100351.mp3,6.552,1.4299213209997106,1.3633958200007328,0.0665255009989778,0.2182419598595407,25,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1731,,spk_1314,,055856ef6d4a5c90a20ad0c4e1e6cd08c8e2877a5c74ad5bf41b28c7b8671191,Hong Kong English,common_voice_en_558042.mp3,2.064,0.6596757070001331,0.6441924280006788,0.015483278999454342,0.3196103231589792,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1732,,spk_1398,,905d130a212801a5fca52a1d66bf663e,Hong Kong English,common_voice_en_17264396.mp3,9.048,0.8534319610007515,0.799509714001033,0.05392224699971848,0.09432271894349596,15,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1733,,spk_1147,,c2705b7db676d2ba819fc0b9fa29c82803d1c3dd4ffb5e5a36874336b21cda5a,Hong Kong English,common_voice_en_18441983.mp3,3.816,0.6573533310001949,0.6349997599991184,0.02235357100107649,0.17226240330193787,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1734,,spk_1310,,6b728bf47bce3c9d124b61e2c094448cd8be807e0cd99099e78901395ce83a16,Hong Kong English,common_voice_en_17663.mp3,3.456,0.6911732159987878,0.6709872310002538,0.020185984998533968,0.19999224999964924,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1735,,spk_1314,,fa4f83c15ac4803571ac1313e83bfb909dcff426d759b27b4155e60ae38e2061,Hong Kong English,common_voice_en_558159.mp3,5.064,0.8377350629998546,0.8078785970010358,0.02985646599881875,0.16542951481039783,16,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1736,,spk_1501,,370ea4f431138c24155bcd98b8e90f1d8c4e52ecb85ffc75c5b7d648edf34d89,Hong Kong English,common_voice_en_219256.mp3,2.808,0.6926489460001903,0.67384044299979,0.01880850300040038,0.24666985256417037,11,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1737,,spk_1314,,d476920eb741cca00aedb2b4a199714ea0392e5063dfd75af9cc5aaf562dd773,Hong Kong English,common_voice_en_558140.mp3,5.184,0.8434930390012596,0.8143265899998369,0.029166449001422734,0.16271084857277385,16,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1738,,spk_0485,,91108d438ff1083aad029a91232e0094f9396c4bef28db89e5b06b2c8c840e7c,Hong Kong English,common_voice_en_17307548.mp3,4.224,0.7650028440002643,0.7396875379999983,0.02531530600026599,0.18110862784097165,13,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1739,,spk_1314,,80e824ad02138329fd3cb1824f093186fe96f9d88dbeb2448e2f8002edd4670b,Hong Kong English,common_voice_en_558105.mp3,3.48,0.6764836799993645,0.6558349400002044,0.02064873999916017,0.19439186206878292,10,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1740,,spk_1043,,6cec5cca7ae0160da669d3a5236c849a6a0277209ae497e163fd6233fac6e0b6,Hong Kong English,common_voice_en_17782211.mp3,3.216,0.7888793799993437,0.7676193650004279,0.02126001499891572,0.2452983146764128,14,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1741,,spk_1310,,3c6ceb4c167816118654880b92e6e392ec8fa1af1429ed04362fe0e53ea1db65,Hong Kong English,common_voice_en_17615.mp3,3.888,0.7359871609987749,0.7130230520015175,0.022964108997257426,0.18929710931038451,12,False,audio_load_to_text_decode_end_to_end_pipeline,success,
1742,,spk_0143,,de08fecea1d4da54b4172f7a3a344a5be98408e2c4b46c8098fc62ede02af7f3,Hong Kong English,common_voice_en_691798.mp3,3.216,0.655203635998987,0.6369400099993072,0.01826362599967979,0.203732473880282,9,False,audio_load_to_text_decode_end_to_end_pipeline,success,
